symbol	id
HNF1B	NM_000458.4
HOXB13	NM_006361.6
HRAS	NM_005343.4
HRAS	NM_176795.5
HUS1	NM_004507.4
IDH1	NM_005896.4
IGF2	NM_000612.6
IGF2R	NM_000876.4
IKZF1	NM_006060.6
IKZF3	NM_012481.5
IRF4	NM_002460.4
ITK	NM_005546.4
JAK1	NM_002227.4
JAK2	NM_004972.4
JAK3	NM_000215.4
JMJD1C	NM_032776.3
KCNH2	NM_000238.4
KCNQ1	NM_000218.3
KDM1A	NM_001009999.3
KDM3B	NM_016604.4
KIF1B	NM_001365951.3
KISS1R	NM_032551.5
KIT	NM_000222.3
KITLG	NM_000899.5
KLF6	NM_001300.6
KLLN	NM_001126049.2
KMT2D	NM_003482.4
KRAS	NM_004985.5
KRAS	NM_033360.4
KRT17	NM_000422.3
L2HGDH	NM_024884.3
LCK	NM_005356.5
LDLR	NM_000527.5
LEF1	NM_016269.5
LEMD3	NM_014319.5
LIG1	NM_000234.3
LIG3	NM_013975.4
LIG4	NM_206937.2
LLGL2	NM_001031803.2
LMNA	NM_005572.4
LMNA	NM_170707.4
LMO1	NM_002315.3
LRIG3	NM_153377.5
LZTR1	NM_006767.4
MAD2L2	NM_006341.4
MAF	NM_005360.5
MAFB	NM_005461.5
MAP2K1	NM_002755.4
MAP2K2	NM_030662.4
MAP2K4	NM_003010.4
MAP3K1	NM_005921.2
MAX	NM_002382.5
MBD4	NM_001276270.2
MC1R	NM_002386.4
MDC1	NM_014641.3
MDH2	NM_005918.4
MEN1	NM_001370259.2
MEN1	NM_130803.3
MET	NM_000245.4
MGMT	NM_002412.5
MINPP1	NM_004897.5
MITF	NM_000248.4
MITF	NM_001354604.2
MLH1	NM_000249.4
MLH3	NM_001040108.2
MMS19	NM_022362.5
MN1	NM_002430.3
MNAT1	NM_002431.4
MPG	NM_001015052.3
MPL	NM_005373.3
MPLKIP	NM_138701.4
MRE11	NM_005591.4
MSH2	NM_000251.3
MSH3	NM_002439.5
MSH4	NM_002440.4
MSH5	NM_172166.4
MSH6	NM_000179.3
MSR1	NM_138715.3
MTAP	NM_002451.4
MUC5B	NM_002458.3
MUS81	NM_025128.5
MUTYH	NM_001048174.2
MUTYH	NM_001128425.2
MYBPC3	NM_000256.3
MYCN	NM_005378.6
MYH11	NM_001040113.2
MYH11	NM_002474.3
MYH7	NM_000257.4
MYL2	NM_000432.4
MYL3	NM_000258.3
MYLK	NM_053025.4
MYO3A	NM_017433.5
MYO5B	NM_001080467.3
NABP2	NM_024068.4
NAF1	NM_138386.3
NAPRT	NM_145201.6
NBN	NM_002485.5
NCOA4	NM_001145263.2
NDRG1	NM_006096.4
NDUFA13	NM_015965.7
NEIL1	NM_024608.4
NEIL2	NM_145043.4
NEIL3	NM_018248.3
NF1	NM_001042492.3
NF2	NM_000268.4
NFIX	NM_001365902.3
NHEJ1	NM_024782.3
NHP2	NM_017838.4
NKX2-1	NM_001079668.3
NOP10	NM_018648.4
NOTCH1	NM_017617.5
NOTCH3	NM_000435.3
NR4A3	NM_006981.4
NRAS	NM_002524.5
NSD1	NM_022455.5
NTHL1	NM_002528.7
NTRK1	NM_002529.4
NTRK3	NM_001012338.3
NUDT1	NM_002452.4
NUDT15	NM_018283.4
NYNRIN	NM_025081.3
OGG1	NM_002542.6
OTC	NM_000531.6
PAH	NM_000277.3
PALB2	NM_024675.4
PARN	NM_002582.4
PARP1	NM_001618.4
PARP2	NM_001042618.2
PARP3	NM_001003931.4
PAX3	NM_181458.4
PAX5	NM_016734.3
PAX6	NM_001368894.2
PAX7	NM_001135254.2
PBRM1	NM_001405607.1
PCNA	NM_182649.2
PCSK9	NM_174936.4
PDGFRA	NM_006206.6
PDGFRB	NM_002609.4
PER1	NM_002616.3
PHF6	NM_001015877.2
PHOX2B	NM_003924.4
PIK3CA	NM_006218.4
PINK1	NM_032409.3
PKP2	NM_001005242.3
PLN	NM_002667.5
PML	NM_033238.3
PMS1	NM_000534.5
PMS2	NM_000535.7
PNKP	NM_007254.4
POLA1	NM_001330360.2
POLB	NM_002690.3
POLD1	NM_002691.4
POLE	NM_006231.4
POLG	NM_002693.3
POLH	NM_006502.3
POLI	NM_007195.3
POLK	NM_016218.6
POLL	NM_001174084.2
POLM	NM_013284.4
POLN	NM_181808.4
POLQ	NM_199420.4
PORCN	NM_203475.3
POT1	NM_015450.3
PPM1D	NM_003620.4
PPP1CB	NM_002709.3
PRDM1	NM_001198.4
PRDM10	NM_199437.2
PRDM9	NM_020227.4
PRF1	NM_001083116.3
PRKAG2	NM_016203.4
PRKAR1A	NM_002734.5
PRKDC	NM_006904.7
PRKN	NM_004562.3
PRPF19	NM_014502.5
PRSS1	NM_002769.5
PTCH1	NM_000264.5
PTCH1	NM_001083603.3
PTCH2	NM_003738.5
PTEN	NM_000314.8
PTPN11	NM_002834.5
PTPN12	NM_002835.4
PTPN13	NM_080683.3
PTPRJ	NM_002843.4
RABL3	NM_173825.5
RAD1	NM_002853.4
RAD17	NM_133338.3
RAD18	NM_020165.4
RAD21	NM_006265.3
RAD23A	NM_005053.4
RAD23B	NM_002874.5
RAD50	NM_005732.4
RAD51	NM_002875.5
RAD51B	NM_133510.4
RAD51C	NM_058216.3
RAD51D	NM_002878.4
RAD52	NM_134424.4
RAD54B	NM_012415.3
RAD54L	NM_003579.4
RAD9A	NM_004584.3
RAF1	NM_002880.4
RASA1	NM_002890.3
RB1	NM_000321.3
RBBP8	NM_002894.3
RBM20	NM_001134363.3
RCC2	NM_018715.4
RDM1	NM_145654.4
RECQL	NM_002907.4
RECQL4	NM_004260.4
RECQL5	NM_004259.7
REST	NM_005612.5
RET	NM_020975.6
REV1	NM_016316.4
REV3L	NM_001372078.1
RHBDF2	NM_001005498.4
RIF1	NM_018151.5
RING1	NM_002931.4
RINT1	NM_021930.6
RIT1	NM_006912.6
RNASEL	NM_021133.4
RNF168	NM_152617.4
RNF4	NM_002938.5
RNF43	NM_017763.6
RNF8	NM_003958.4
ROS1	NM_001378902.1
RPA1	NM_002945.5
RPA2	NM_002946.5
RPA3	NM_002947.5
RPA4	NM_013347.4
RPE65	NM_000329.3
RPL11	NM_000975.5
RPL15	NM_002948.5
RPL23	NM_000978.4
RPL26	NM_000987.5
RPL27	NM_000988.5
RPL31	NM_000993.5
RPL35A	NM_000996.4
RPL36	NM_033643.3
RPL5	NM_000969.5
RPS10	NM_001014.5
RPS15	NM_001018.5
RPS17	NM_001021.6
RPS19	NM_001022.4
RPS24	NM_033022.4
RPS26	NM_001029.5
RPS27	NM_001030.6
RPS27A	NM_002954.6
RPS28	NM_001031.5
RPS29	NM_001032.5
RPS7	NM_001011.4
RRAS2	NM_012250.6
RRM2B	NM_015713.5
RTEL1	NM_001283009.2
RUNX1	NM_001754.5
RYR1	NM_000540.3
RYR2	NM_001035.3
SAMD9	NM_017654.4
SAMD9L	NM_152703.5
SAMHD1	NM_015474.4
SASH1	NM_015278.5
SBDS	NM_016038.4
SCG5	NM_001144757.3
SCN5A	NM_000335.5
SCN5A	NM_001099404.2
SDHA	NM_004168.4
SDHAF2	NM_017841.4
SDHB	NM_003000.3
SDHC	NM_003001.5
SDHD	NM_003002.4
SEC23B	NM_006363.6
SEM1	NM_006304.2
SEMA4A	NM_022367.4
SETBP1	NM_015559.3
SETMAR	NM_006515.4
SFTPA1	NM_005411.5
SFTPA2	NM_001098668.4
SH2B3	NM_005475.3
SH2D1A	NM_002351.5
SHOC2	NM_007373.4
SHPRH	NM_001042683.3
SIX1	NM_005982.4
SLC26A3	NM_000111.3
SLC5A5	NM_000453.3
SLX1A	NM_001014999.3
SLX1B	NM_024044.5
SLX4	NM_032444.4
SMAD3	NM_005902.4
SMAD4	NM_005359.6
SMAD9	NM_001127217.3
SMARCA2	NM_003070.5
SMARCA4	NM_001387283.1
SMARCA4	NM_003072.5
SMARCB1	NM_003073.5
SMARCE1	NM_003079.5
SMO	NM_005631.5
SMUG1	NM_001243787.2
SOCS1	NM_003745.2
SOS1	NM_005633.4
SOS2	NM_006939.4
SPINK1	NM_001379610.1
SPO11	NM_012444.3
SPOP	NM_001007228.2
SPRED1	NM_152594.3
SPRTN	NM_032018.7
SQSTM1	NM_003900.5
SRC	NM_198291.3
SRGAP1	NM_020762.4
SRP72	NM_006947.4
SRRM2	NM_016333.4
SRSF2	NM_001195427.2
SRY	NM_003140.3
STAT3	NM_139276.3
